ID	Word	Lemma	POS	Features	(EverythingElse)
505	зрения	зрение	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#303.57#303.854
506	психологии	психология	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#303.854#304.138
507	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#304.138#304.422
508	а	а	CCONJ	_	@dib1981m-words#@dib1981m-words#304.422#304.706
509	не	не	PART	_	@dib1981m-words#@dib1981m-words#304.706#304.99
510	равноправия	равноправие	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#304.99#305.296
511	ну	ну	PART	_	@dib1981m-words#@dib1981m-words#307.301#307.462
512	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#307.462#307.623
513	конечно	конечно	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#307.623#307.784
514	Ну	ну	INTJ	_	@dib1981m-words#@dib1981m-words#309.842#310.134
515	не	не	PART	_	@dib1981m-words#@dib1981m-words#310.134#310.426
516	обязательно	обязательно	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#310.426#310.72
517	да	да	CCONJ	_	@dib1981m-words#@dib1981m-words#311.842#312.146
518	неважно	неважно	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#312.146#312.45
519	рядом	рядом	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#312.45#312.754
520	с	с	ADP	_	@dib1981m-words#@dib1981m-words#312.754#313.058
521	кем	кто	PRON	Case=Ins	@dib1981m-words#@dib1981m-words#313.058#313.362
522	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#313.362#313.666
523	пользоваться	пользоваться	VERB	Aspect=Imp|VerbForm=Inf|Voice=Mid	@dib1981m-words#@dib1981m-words#313.666#313.97
524	превосходством	превосходство	NOUN	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#314.43#315.401
525	физическим	физический	ADJ	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#315.639#316.062
526	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#316.062#316.485
527	умственным	умственный	ADJ	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#316.485#316.908
528	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#316.908#317.331
529	интеллектуальным	интеллектуальный	ADJ	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#317.331#317.755
530	это	это	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#318.232#318.534
531	всегда	всегда	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#318.534#318.836
532	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#318.836#319.138
533	всегда	всегда	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#319.138#319.44
534	любой	любой	DET	Case=Nom|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#319.44#319.742
535	человек	человек	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#319.742#320.044
536	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#320.044#320.346
537	всегда	всегда	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#320.346#320.648
538	будет	быть	AUX	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#320.648#320.95
539	этим	это	PRON	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#320.95#321.252
540	пользоваться	пользоваться	VERB	Aspect=Imp|VerbForm=Inf|Voice=Mid	@dib1981m-words#@dib1981m-words#321.252#321.563
541	Нет	нет	PART	_	@dib1981m-words#@dib1981m-words#335.572#335.799
542	это	это	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#336.194#336.438
543	абсолют…	абсолютно	ADJ	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	@dib1981m-words#@dib1981m-words#336.438#336.682
544	ну	ну	INTJ	_	@dib1981m-words#@dib1981m-words#336.682#336.926
545	вы	вы	PRON	Case=Nom|Number=Plur|Person=2	@dib1981m-words#@dib1981m-words#336.926#337.17
546	же	же	PART	_	@dib1981m-words#@dib1981m-words#337.17#337.414
547	эээ	эээ	INTJ	_	@dib1981m-words#@dib1981m-words#337.414#337.658
548	опять	опять	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#337.658#337.902
549	приводите	приводить	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#337.902#338.146
550	пример	пример	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#338.146#338.39
551	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#338.39#338.634
552	когда	когда	SCONJ	_	@dib1981m-words#@dib1981m-words#338.634#338.878
553	мужчина	мужчина	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#338.878#339.122
554	бьет	бить	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#339.122#339.366
555	женщину	женщина	NOUN	Animacy=Anim|Case=Acc|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#339.366#339.61
556	то	то	SCONJ	_	@dib1981m-words#@dib1981m-words#339.61#339.854
557	что	что	PRON	Case=Nom	@dib1981m-words#@dib1981m-words#339.854#340.098
558	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#340.098#340.342
559	молчи	молчать	VERB	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#340.342#340.586
560	дурак	дурак	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#340.586#340.83
561	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#340.83#341.074
562	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#341.074#341.318
563	тебе	ты	PRON	Case=Dat|Number=Sing|Person=2	@dib1981m-words#@dib1981m-words#341.318#341.562
564	дам	дать	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#341.562#341.806
565	в	в	ADP	_	@dib1981m-words#@dib1981m-words#341.806#342.05
566	лицо	лицо	NOUN	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#342.05#342.294
567	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#342.294#342.538
568	картина	картина	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#342.538#342.782
569	меняется	меняться	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	@dib1981m-words#@dib1981m-words#342.782#343.026
570	от	от	ADP	_	@dib1981m-words#@dib1981m-words#343.026#343.27
571	этого	это	PRON	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#343.27#343.517
572	против	против	ADP	_	@dib1981m-words#@dib1981m-words#346.167#346.459
573	любого	любой	DET	Case=Gen|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#346.459#346.751
574	насилия	насилие	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#346.751#347.043
575	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#347.043#347.335
576	это	это	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#347.335#347.627
577	по	по	ADP	_	@dib1981m-words#@dib1981m-words#347.627#347.919
578	поводу	повод	NOUN	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#347.919#348.211
579	олимпиады	олимпиада	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#348.211#348.503
580	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#348.503#348.795
581	вот	вот	PART	_	@dib1981m-words#@dib1981m-words#348.795#349.087
582	если	если	SCONJ	_	@dib1981m-words#@dib1981m-words#349.087#349.379
583	полностью	полностью	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#349.379#349.671
584	предо	предоставить	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#349.671#349.963
585	ну	ну	INTJ	_	@dib1981m-words#@dib1981m-words#349.963#350.255
586	равноправие	равноправие	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#350.255#350.547
587	предоставить	предоставить	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#350.547#350.839
588	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#350.839#351.131
589	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#351.131#351.423
590	мужские	мужской	ADJ	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur	@dib1981m-words#@dib1981m-words#351.423#351.715
591	и	и	CCONJ	_	@dib1981m-words#@dib1981m-words#351.715#352.007
592	женские	женский	ADJ	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur	@dib1981m-words#@dib1981m-words#352.007#352.299
593	виды	вид	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	@dib1981m-words#@dib1981m-words#352.299#352.591
594	спорта	спорт	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#352.591#352.883
595	соединить	соединить	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#352.883#353.191
596	это	это	PRON	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#353.702#354.167
597	разве	разве	PART	_	@dib1981m-words#@dib1981m-words#354.167#354.632
598	не	не	PART	_	@dib1981m-words#@dib1981m-words#354.632#355.097
599	будет	быть	AUX	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#355.097#355.562
600	как	как	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#355.562#356.027
601	бы	бы	PART	_	@dib1981m-words#@dib1981m-words#356.027#356.492
602	дискриминацией	дискриминация	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#356.492#356.959
603	ха-ха	ха-ха	INTJ	_	@anf1979f-words#@anf1979f-words#4.269#4.333
604	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#4.333#4.397
605	да	да	PART	_	@anf1979f-words#@anf1979f-words#4.397#4.463
606	нет	нет	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#22.048#22.424
607	я	я	PRON	Case=Nom|Number=Sing|Person=1	@anf1979f-words#@anf1979f-words#23.353#23.612
608	считаю	считать	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#23.612#23.871
609	ну	ну	PART	_	@anf1979f-words#@anf1979f-words#23.871#24.13
610	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#24.13#24.389
611	что…	что	SCONJ	_	@anf1979f-words#@anf1979f-words#24.389#24.651
612	я	я	PRON	Case=Nom|Number=Sing|Person=1	@anf1979f-words#@anf1979f-words#25.697#26.02
613	буду	быть	AUX	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#26.02#26.343
614	говорить	говорить	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act	@anf1979f-words#@anf1979f-words#26.343#26.666
615	о	о	ADP	_	@anf1979f-words#@anf1979f-words#26.666#26.989
616	себе	себя	PRON	Case=Loc	@anf1979f-words#@anf1979f-words#26.989#27.312
617	эмм	эмм	INTJ	_	@anf1979f-words#@anf1979f-words#27.312#27.635
618	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#27.635#27.958
619	я	я	PRON	Case=Nom|Number=Sing|Person=1	@anf1979f-words#@anf1979f-words#27.958#28.281
620	считаю	считать	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#28.281#28.604
621	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#28.604#28.927
622	что	что	SCONJ	_	@anf1979f-words#@anf1979f-words#28.927#29.25
623	я	я	PRON	Case=Nom|Number=Sing|Person=1	@anf1979f-words#@anf1979f-words#29.25#29.573
624	стала	стать	VERB	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	@anf1979f-words#@anf1979f-words#29.573#29.896
625	феминисткой	феминистка	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	@anf1979f-words#@anf1979f-words#29.896#30.219
626	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#30.219#30.542
627	потому	потому	ADV	Degree=Pos	@anf1979f-words#@anf1979f-words#30.542#30.865
628	что	что	SCONJ	_	@anf1979f-words#@anf1979f-words#30.865#31.188
629	вижу	видеть	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#31.188#31.511
630	несправедливость	несправедливость	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	@anf1979f-words#@anf1979f-words#31.511#31.834
631	в	в	ADP	_	@anf1979f-words#@anf1979f-words#31.834#32.157
632	мире	мир	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	@anf1979f-words#@anf1979f-words#32.157#32.488
633	потому	потому	ADV	Degree=Pos	@anf1979f-words#@anf1979f-words#33.18#33.466
634	что	что	SCONJ	_	@anf1979f-words#@anf1979f-words#33.466#33.752
635	вижу	видеть	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#33.752#34.038
636	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#34.038#34.324
637	как	как	SCONJ	_	@anf1979f-words#@anf1979f-words#34.324#34.61
638	ээ	ээ	INTJ	_	@anf1979f-words#@anf1979f-words#34.61#34.896
639	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#34.896#35.182
640	что	что	SCONJ	_	@anf1979f-words#@anf1979f-words#35.182#35.468
641	женщина	женщина	NOUN	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	@anf1979f-words#@anf1979f-words#35.468#35.754
642	не	не	PART	_	@anf1979f-words#@anf1979f-words#35.754#36.04
643	может	мочь	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#36.04#36.326
644	чувствовать	чувствовать	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act	@anf1979f-words#@anf1979f-words#36.326#36.612
645	себя	себя	PRON	Case=Acc	@anf1979f-words#@anf1979f-words#36.612#36.898
646	в	в	ADP	_	@anf1979f-words#@anf1979f-words#36.898#37.184
647	безопасности	безопасность	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	@anf1979f-words#@anf1979f-words#37.184#37.47
648	в	в	ADP	_	@anf1979f-words#@anf1979f-words#37.47#37.756
649	этом	этот	DET	Case=Loc|Gender=Masc|Number=Sing	@anf1979f-words#@anf1979f-words#37.756#38.042
650	мире	мир	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	@anf1979f-words#@anf1979f-words#38.042#38.342
651	Да	да	PART	_	@anf1979f-words#@anf1979f-words#46.702#46.876
652	?	?	PUNCT	_	@anf1979f-words#@anf1979f-words#46.876#47.05
653	Точно	точно	ADV	Degree=Pos	@anf1979f-words#@anf1979f-words#47.736#47.958
654	?	?	PUNCT	_	@anf1979f-words#@anf1979f-words#47.958#48.18
655	а	а	CCONJ	_	@anf1979f-words#@anf1979f-words#48.491#48.832
656	вы	вы	PRON	Case=Nom|Number=Plur|Person=2	@anf1979f-words#@anf1979f-words#48.832#49.173
657	вечером	вечер	NOUN	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	@anf1979f-words#@anf1979f-words#49.173#49.514
658	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#49.514#49.855
659	когда	когда	SCONJ	_	@anf1979f-words#@anf1979f-words#49.855#50.196
660	домой	домой	ADV	Degree=Pos	@anf1979f-words#@anf1979f-words#50.196#50.537
661	идете	идти	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#50.537#50.878
662	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#50.878#51.219
663	вот	вот	PART	_	@anf1979f-words#@anf1979f-words#51.219#51.56
664	поздно	поздно	ADV	Degree=Pos	@anf1979f-words#@anf1979f-words#51.56#51.901
665	ночью	ночь	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	@anf1979f-words#@anf1979f-words#51.901#52.242
666	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#52.242#52.583
667	вы	вы	PRON	Case=Nom|Number=Plur|Person=2	@anf1979f-words#@anf1979f-words#52.583#52.924
668	возвращаетесь	возвращаться	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	@anf1979f-words#@anf1979f-words#52.924#53.265
669	домой	домой	ADV	Degree=Pos	@anf1979f-words#@anf1979f-words#53.265#53.606
670	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#53.606#53.947
671	вы	вы	PRON	Case=Nom|Number=Plur|Person=2	@anf1979f-words#@anf1979f-words#53.947#54.288
672	просчитываете	просчитывать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#54.288#54.629
673	пути	путь	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	@anf1979f-words#@anf1979f-words#54.629#54.97
674	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#54.97#55.311
675	куда	куда	ADV	Degree=Pos	@anf1979f-words#@anf1979f-words#55.311#55.652
676	вам	вы	PRON	Case=Dat|Number=Plur|Person=2	@anf1979f-words#@anf1979f-words#55.652#55.993
677	если	если	SCONJ	_	@anf1979f-words#@anf1979f-words#55.993#56.334
678	что	что	PRON	Case=Acc	@anf1979f-words#@anf1979f-words#56.334#56.675
679	валить	валить	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act	@anf1979f-words#@anf1979f-words#56.675#57.016
680	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#57.016#57.357
681	если	если	SCONJ	_	@anf1979f-words#@anf1979f-words#57.357#57.698
682	на	на	ADP	_	@anf1979f-words#@anf1979f-words#57.698#58.039
683	вас	вы	PRON	Case=Acc|Number=Plur|Person=2	@anf1979f-words#@anf1979f-words#58.039#58.38
684	выпрыгнут	выпрыгнуть	VERB	Aspect=Perf|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#58.38#58.721
685	сейчас	сейчас	ADV	Degree=Pos	@anf1979f-words#@anf1979f-words#58.721#59.062
686	это	это	PRON	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	@anf1979f-words#@anf1979f-words#59.062#59.403
687	начнут	начать	VERB	Aspect=Perf|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#59.403#59.744
688	докапываться	докапываться	VERB	Aspect=Imp|VerbForm=Inf|Voice=Mid	@anf1979f-words#@anf1979f-words#59.744#60.085
689	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#60.085#60.426
690	вы	вы	PRON	Case=Nom|Number=Plur|Person=2	@anf1979f-words#@anf1979f-words#60.426#60.767
691	нащупываетесь	нащупываться	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	@anf1979f-words#@anf1979f-words#60.767#61.108
692	ключи	ключ	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	@anf1979f-words#@anf1979f-words#61.108#61.449
693	в	в	ADP	_	@anf1979f-words#@anf1979f-words#61.449#61.79
694	кармане	карман	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	@anf1979f-words#@anf1979f-words#61.79#62.131
695	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#62.131#62.472
696	устраиваете	устраивать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#62.472#62.813
697	в	в	ADP	_	@anf1979f-words#@anf1979f-words#62.813#63.154
698	кулаке	кулак	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	@anf1979f-words#@anf1979f-words#63.154#63.495
699	так	так	ADV	Degree=Pos	@anf1979f-words#@anf1979f-words#63.495#63.836
700	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#63.836#64.177
701	чтобы	чтобы	SCONJ	Mood=Cnd	@anf1979f-words#@anf1979f-words#64.177#64.518
702	если	если	SCONJ	_	@anf1979f-words#@anf1979f-words#64.518#64.859
703	что	что	PRON	Case=Nom	@anf1979f-words#@anf1979f-words#64.859#65.2
704	было	быть	AUX	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#65.2#65.541
705	эффективнее	эффективно	ADV	Degree=Cmp	@anf1979f-words#@anf1979f-words#65.541#65.882
706	бить	бить	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act	@anf1979f-words#@anf1979f-words#65.882#66.245
707	когда	когда	SCONJ	_	@anf1979f-words#@anf1979f-words#68.248#68.551
708	вы	вы	PRON	Case=Nom|Number=Plur|Person=2	@anf1979f-words#@anf1979f-words#68.551#68.854
709	входите	входить	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#68.854#69.157
710	в	в	ADP	_	@anf1979f-words#@anf1979f-words#69.157#69.46
711	подъезд	подъезд	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	@anf1979f-words#@anf1979f-words#69.46#69.763
712	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#69.763#70.066
713	и	и	CCONJ	_	@anf1979f-words#@anf1979f-words#70.066#70.369
714	видите	видеть	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#70.369#70.672
715	мужика	мужик	NOUN	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	@anf1979f-words#@anf1979f-words#70.672#70.975
716	сидящего	сидеть	VERB	Aspect=Imp|Case=Gen|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act	@anf1979f-words#@anf1979f-words#70.975#71.278
717	пьяного	пьяный	ADJ	Case=Gen|Degree=Pos|Gender=Neut|Number=Sing	@anf1979f-words#@anf1979f-words#71.278#71.581
718	на	на	ADP	_	@anf1979f-words#@anf1979f-words#71.581#71.884
719	стуле	стул	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	@anf1979f-words#@anf1979f-words#71.884#72.187
720	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#72.187#72.49
721	вы	вы	PRON	Case=Nom|Number=Plur|Person=2	@anf1979f-words#@anf1979f-words#72.49#72.793
722	думаете	думать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#72.793#73.096
723	о	о	ADP	_	@anf1979f-words#@anf1979f-words#73.096#73.399
724	том	то	PRON	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	@anf1979f-words#@anf1979f-words#73.399#73.702
725	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#73.702#74.005
726	что	что	SCONJ	_	@anf1979f-words#@anf1979f-words#74.005#74.308
727	вас	вы	PRON	Case=Acc|Number=Plur|Person=2	@anf1979f-words#@anf1979f-words#74.308#74.611
728	возможно	возможный	ADV	Degree=Pos	@anf1979f-words#@anf1979f-words#74.611#74.914
729	сейчас	сейчас	ADV	Degree=Pos	@anf1979f-words#@anf1979f-words#74.914#75.217
730	изнасилуют	изнасиловать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#75.217#75.533
731	хорошо	хорошо	ADV	Degree=Pos	@anf1979f-words#@anf1979f-words#109.719#109.907
732	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#109.907#110.095
733	аа	а	INTJ	_	@anf1979f-words#@anf1979f-words#110.095#110.283
734	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#110.283#110.471
735	нуу	ну	INTJ	_	@anf1979f-words#@anf1979f-words#110.471#110.659
736	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#110.659#110.847
737	дать	дать	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@anf1979f-words#@anf1979f-words#110.847#111.035
738	в	в	ADP	_	@anf1979f-words#@anf1979f-words#111.035#111.223
739	морду	морда	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	@anf1979f-words#@anf1979f-words#111.223#111.411
740	/	/	PUNCT	_	@anf1979f-words#@anf1979f-words#111.411#111.599
741	а	а	CCONJ	_	@anf1979f-words#@anf1979f-words#111.599#111.787
742	вас	вы	PRON	Case=Acc|Number=Plur|Person=2	@anf1979f-words#@anf1979f-words#111.787#111.975
743	изнасилуют	изнасиловать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@anf1979f-words#@anf1979f-words#111.975#112.163
744	?	?	PUNCT	_	@anf1979f-words#@anf1979f-words#112.163#112.355
745	ну	ну	INTJ	_	@anf1979f-words#@anf1979f-words#114.49#115.007
746	мужчину	мужчина	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	@anf1979f-words#@anf1979f-words#115.007#115.524
747	первого	первый	ADJ	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	@anf1979f-words#@anf1979f-words#115.68#116.063
748	попавшегося	попаться	VERB	Aspect=Perf|Case=Gen|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid	@anf1979f-words#@anf1979f-words#116.063#116.446
749	на	на	ADP	_	@anf1979f-words#@anf1979f-words#116.446#116.829
750	улице	улица	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	@anf1979f-words#@anf1979f-words#116.829#117.214
751	а	а	CCONJ	_	@anf1979f-words#@anf1979f-words#119.525#119.792
